,datetime,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_inflow_total,btc_outflow_total,btc_netflow_total,btc_coinbase_premium_index,btc_coinbase_premium_gap
56,2022-01-03 00:00:00,47296.38863414,47302.8250777,47055.65881882,47061.03862152,1822.1090889368757,498.33669745,463.13406372,35.20263373,0.03171089,14.92
57,2022-01-03 01:00:00,47060.33361541,47143.88083805,46954.0155556,47124.5085025,2063.200673630384,994.58254307,691.54874522,303.03379785000004,0.02512909,11.84
58,2022-01-03 02:00:00,47122.07562562,47126.48363956,46864.33771681,47006.33154676,2423.783915978001,518.09820723,541.38572997,-23.2875227400001,0.01731916,8.14
59,2022-01-03 03:00:00,47005.2415036,47195.1739601,46727.77640238,46799.24698134,2460.6902352470183,2770.93871531,1188.52053292,1582.41818239,0.00707367,3.31
60,2022-01-03 04:00:00,46800.32975371,46950.17527226,46754.33979731,46829.02072462,1382.398505196729,1809.06180264,1395.94201244,413.1197901999999,0.01099904,5.15
61,2022-01-03 05:00:00,46828.34558023,47214.28945252,46774.84739115,47083.50126077,2306.7548422850004,501.68681598,730.63108733,-228.94427135,0.02480955,11.68
62,2022-01-03 06:00:00,47085.81194842,47110.22042776,46883.17078974,46929.72397683,1460.4980627458376,1124.43558658,1605.4870016,-481.0514150199999,0.02717174,12.75
63,2022-01-03 07:00:00,46927.80924935,47086.73256918,46859.88519422,47055.12031731,1546.2678592100938,228.15623697,298.14006408,-69.98382711,0.01498362,7.05
64,2022-01-03 08:00:00,47056.05673202,47138.03560376,46928.76837501,46983.1771322,1587.265662999292,893.71473147,327.17471139,566.54002008,0.00662,3.11
65,2022-01-03 09:00:00,46983.45385353,47106.1357498,46783.08735335,46990.82145976,3128.351560836958,1607.93412957,2616.92471195,-1008.99058238,0.0081729,3.84
66,2022-01-03 10:00:00,46989.5722675,47252.18880943,46986.3531591,47132.55145044,4390.171567453303,678.20775886,653.68742447,24.520334390000016,0.01767601,8.33
