start_time,coinbase_premium_gap,coinbase_premium_gap_usdt_adjusted,coinbase_premium_index,coinbase_premium_index_usdt_adjusted,datetime
1675742400000,1.86,6.14270174,0.0081328,0.02685377,2023-02-07 04:00:00+00:00
1675746000000,-1.64,-9.41692428,-0.00715011,-0.04107003,2023-02-07 05:00:00+00:00
1675749600000,-0.92,-2.07462286,-0.00401267,-0.00904913,2023-02-07 06:00:00+00:00
1675753200000,0.8,5.37553784,0.00349179,0.0234581,2023-02-07 07:00:00+00:00
1675756800000,1.91,22.14705224,0.00835058,0.09674191,2023-02-07 08:00:00+00:00
1675760400000,-1.85,-1.51886034,-0.00803936,-0.00660026,2023-02-07 09:00:00+00:00
1675764000000,1.06,-8.1897136,0.004612,-0.03564734,2023-02-07 10:00:00+00:00
1675767600000,0.44,-1.696194,0.00191494,-0.00738275,2023-02-07 11:00:00+00:00
1675771200000,-1.96,-0.58824974,-0.00851298,-0.00255483,2023-02-07 12:00:00+00:00
1675774800000,-0.41,1.17510578,-0.00178396,0.00511268,2023-02-07 13:00:00+00:00
1675778400000,-1.21,4.0988035,-0.00526617,0.01783471,2023-02-07 14:00:00+00:00
1675782000000,0.86,5.3360736,0.00375466,0.0232921,2023-02-07 15:00:00+00:00
1675785600000,0.17,0.45056114,0.00073984,0.00196081,2023-02-07 16:00:00+00:00
1675789200000,-3.92,6.06883834,-0.01683638,0.02605444,2023-02-07 17:00:00+00:00
1675792800000,-0.87,-0.04535521,-0.00379378,-0.00019777,2023-02-07 18:00:00+00:00
1675796400000,1.41,4.64609887,0.00610604,0.02011722,2023-02-07 19:00:00+00:00
1675800000000,1.79,4.65751873,0.00771739,0.02007791,2023-02-07 20:00:00+00:00
1675803600000,1.67,4.89868604,0.00719944,0.0211155,2023-02-07 21:00:00+00:00
1675807200000,3.41,7.1089366,0.01468012,0.03059925,2023-02-07 22:00:00+00:00
1675810800000,4.21,8.22385985,0.01811496,0.03537985,2023-02-07 23:00:00+00:00
1675814400000,2.93,11.87637419,0.01256088,0.05089435,2023-02-08 00:00:00+00:00
1675818000000,1.14,11.25359786,0.0048953,0.04830331,2023-02-08 01:00:00+00:00
1675821600000,3.22,0.78001434,0.01385268,0.00335603,2023-02-08 02:00:00+00:00
1675825200000,3.26,6.14087152,0.01401829,0.02640301,2023-02-08 03:00:00+00:00
1675828800000,1.24,4.06401033,0.00533409,0.01747996,2023-02-08 04:00:00+00:00
1675832400000,1.73,3.67225574,0.00744907,0.01581074,2023-02-08 05:00:00+00:00
1675836000000,2.31,-4.21660128,0.00995764,-0.01818147,2023-02-08 06:00:00+00:00
1675839600000,2.64,4.08112314,0.0113633,0.01756521,2023-02-08 07:00:00+00:00
1675843200000,2.24,3.21163355,0.00965269,0.01383911,2023-02-08 08:00:00+00:00
1675846800000,0.94,0.97874884,0.00405122,0.00421821,2023-02-08 09:00:00+00:00
